CPF,Nome,Endereco,MetodoPagamento,Email,Senha,Funcao
36079709115,Ana Paula Souza,"Rua das Flores, 123 - Centro",credito,diana.almeida25@gmail.com,Senha1,adm
57901750614,Luiz Carlos Santos,"Avenida dos Girassóis, 456 - Jardim das Acácias",debito,luciano.andrade67@hotmail.com,Senha2,usuario
98816098937,Fernanda Castro,"Rua do Sol, 789 - Praia do Sol",pix,marcela.araujo48@outlook.com,Senha3,usuario
28622425923,Rodrigo Silva,"Rua dos Pássaros, 321 - Parque dos Pássaros",boleto,bruno.barbosa91@gmail.com,Senha4,usuario
16806349128,Marina Alves,"Rua dos Pinheiros, 654 - Vila Pinheiros",credito,camila.borges84@yahoo.com.br,Senha5,usuario
92672228109,Gustavo Lima,"Avenida das Rosas, 987 - Jardim das Rosas",debito,carlos.cabral33@hotmail.com,Senha6,usuario
87799143891,Juliana Oliveira,"Rua das Margaridas, 234 - Jardim das Margaridas",pix,juliana.campos52@bol.com.br,Senha7,usuario
42439130484,Rafaela Fernandes,"Rua das Orquídeas, 567 - Jardim das Orquídeas",boleto,pedro.cardoso28@gmail.com,Senha8,usuario
55783885092,Bruno Costa,"Avenida dos Ipês, 890 - Parque dos Ipês",credito,leonardo.carvalho94@outlook.com,Senha9,usuario
63971118704,Isabela Pereira,"Rua das Águias, 123 - Jardim das Águias",debito,luana.castilho67@yahoo.com.br,Senha10,usuario
48564728898,Ricardo Marques,"Rua dos Gaviões, 456 - Parque dos Gaviões",pix,fernanda.cavalcanti77@hotmail.com,Senha11,adm
59099440103,Mariana Lima,"Avenida das Araras, 789 - Jardim das Araras",boleto,gabriel.correia14@gmail.com,Senha12,usuario
74066905417,Thiago Carvalho,"Rua das Borboletas, 321 - Parque das Borboletas",credito,beatriz.costa95@outlook.com,Senha13,usuario
31800392583,Vanessa Ribeiro,"Rua dos Flamboyants, 654 - Vila Flamboyant",debito,joao.couto64@yahoo.com.br,Senha14,usuario
72278628920,Eduardo Rodrigues,"Avenida das Acácias, 987 - Jardim das Acácias",pix,laura.cruz22@hotmail.com,Senha15,usuario
96718113967,Gabriela Nunes,"Rua das Palmeiras, 234 - Vila Palmeiras",boleto,marcos.dias87@gmail.com,Senha16,usuario
50114624914,Lucas Santos,"Rua dos Coqueiros, 567 - Parque dos Coqueiros",credito,renata.faria61@outlook.com,Senha17,usuario
22075878319,Luana Ferreira,"Avenida dos Flamengos, 890 - Jardim dos Flamengos",debito,thiago.felix40@yahoo.com.br,Senha18,usuario
